geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,56,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,511575,0,1,100,8670300,0.65,0.65,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-09,NA,NA,NA,NA
CH,202010,377,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,433,511575,0,1,100,8670300,4.35,4.99,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-10,321,3.7,573.2,0
CH,202011,2265,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2698,511575,0,1,100,8670300,26.12,31.12,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-11,1888,21.77,500.8,0
CH,202012,6559,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9257,511575,0,1,100,8670300,75.65,106.77,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-12,4294,49.53,189.6,0
CH,202013,7346,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16603,511575,0,1,100,8670300,84.73,191.49,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-13,787,9.08,12,0
CH,202014,6025,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22628,511575,0,1,100,8670300,69.49,260.98,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-14,-1321,-15.24,-18,0
CH,202015,3602,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26230,511575,0,1,100,8670300,41.54,302.53,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-15,-2423,-27.95,-40.2,0
CH,202016,1839,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28069,511575,0,1,100,8670300,21.21,323.74,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-16,-1763,-20.33,-48.9,0
CH,202017,1167,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29236,511575,0,1,100,8670300,13.46,337.2,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-17,-672,-7.75,-36.5,0
CH,202018,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29936,511575,0,1,100,8670300,8.07,345.27,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-18,-467,-5.39,-40,0
CH,202019,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30336,511575,0,1,100,8670300,4.61,349.88,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-19,-300,-3.46,-42.9,0
CH,202020,231,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30567,511575,0,1,100,8670300,2.66,352.55,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-20,-169,-1.95,-42.2,0
CH,202021,154,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30721,511575,0,1,100,8670300,1.78,354.32,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-21,-77,-0.88,-33.3,0
CH,202022,126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30847,511575,0,1,100,8670300,1.45,355.78,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-22,-28,-0.33,-18.2,0
CH,202023,98,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30945,511575,0,1,100,8670300,1.13,356.91,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-23,-28,-0.32,-22.2,0
CH,202024,140,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31085,511575,0,1,100,8670300,1.61,358.52,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-24,42,0.48,42.9,0
CH,202025,171,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31256,511575,0,1,100,8670300,1.97,360.5,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-25,31,0.36,22.1,0
CH,202026,357,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31613,511575,0,1,100,8670300,4.12,364.61,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-26,186,2.15,108.8,0
CH,202027,684,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32297,511575,0,1,100,8670300,7.89,372.5,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-27,327,3.77,91.6,0
CH,202028,636,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32933,511575,0,1,100,8670300,7.34,379.84,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-28,-48,-0.55,-7,0
CH,202029,715,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33648,511575,0,1,100,8670300,8.25,388.08,COVID19Cases,,2022-05-03_06-06-15,isoweek,2020-29,79,0.91,12.4,0
