date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202104,0 - 9,fully_vaccinated,0,0,6,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,0 - 9,partially_vaccinated,0,0,10,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,0 - 9,not_vaccinated,0,0,880571,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,10 - 19,fully_vaccinated,0,0,51,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,10 - 19,partially_vaccinated,0,0,977,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,10 - 19,not_vaccinated,0,0,852347,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,20 - 29,fully_vaccinated,0,0,419,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,20 - 29,partially_vaccinated,0,0,7568,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,20 - 29,not_vaccinated,0,0,1034630,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,30 - 39,fully_vaccinated,0,0,708,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,30 - 39,partially_vaccinated,0,0,11901,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202104,30 - 39,not_vaccinated,0,0,1235631,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-05-03_06-06-15,TRUE
