date,geoRegion,cases,hosps,deaths
2020-02-24,AG,0,0,0
2020-02-24,AI,0,0,0
2020-02-24,AR,0,0,0
2020-02-24,BE,0,0,0
2020-02-24,BL,0,0,0
2020-02-24,BS,0,0,0
2020-02-24,FR,0,0,0
2020-02-24,GE,0,1,0
2020-02-24,GL,0,0,0
2020-02-24,GR,0,0,0
2020-02-24,JU,0,0,0
2020-02-24,LU,0,0,0
2020-02-24,NE,0,0,0
2020-02-24,NW,0,0,0
2020-02-24,OW,0,0,0
2020-02-24,SG,0,0,0
2020-02-24,SH,0,0,0
2020-02-24,SO,0,0,0
2020-02-24,SZ,0,0,0
2020-02-24,TG,0,1,0
2020-02-24,TI,1,2,0
2020-02-24,UR,0,0,0
2020-02-24,VD,0,1,0
2020-02-24,VS,0,0,0
2020-02-24,ZG,0,0,0
2020-02-24,ZH,0,0,0
2020-02-24,FL,0,0,0
2020-02-24,CH,1,5,0
2020-02-24,CHFL,1,5,0
2020-02-25,AG,1,1,0
2020-02-25,AI,0,0,0
2020-02-25,AR,0,0,0
2020-02-25,BE,0,0,0
2020-02-25,BL,0,0,0
2020-02-25,BS,0,0,0
2020-02-25,FR,0,0,0
2020-02-25,GE,0,0,0
2020-02-25,GL,0,0,0
2020-02-25,GR,0,0,0
2020-02-25,JU,0,0,0
2020-02-25,LU,0,0,0
2020-02-25,NE,0,0,0
2020-02-25,NW,0,0,0
2020-02-25,OW,0,0,0
2020-02-25,SG,0,0,0
2020-02-25,SH,0,0,0
2020-02-25,SO,0,0,0
2020-02-25,SZ,0,0,0
2020-02-25,TG,0,0,0
2020-02-25,TI,0,1,0
2020-02-25,UR,0,0,0
2020-02-25,VD,0,2,0
2020-02-25,VS,0,0,0
2020-02-25,ZG,0,0,0
2020-02-25,ZH,0,0,0
2020-02-25,FL,0,0,0
2020-02-25,CH,1,4,0
2020-02-25,CHFL,1,4,0
2020-02-26,AG,0,0,0
2020-02-26,AI,0,0,0
2020-02-26,AR,0,0,0
2020-02-26,BE,0,0,0
2020-02-26,BL,1,1,0
2020-02-26,BS,1,0,0
2020-02-26,FR,0,1,0
