date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202053,AG,age,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202101,AG,age,4,indication,694072,4,0,0.8,80,50,0,0,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202102,AG,age,2,indication,694072,6,0,0.143,14.299999999999999,27.3,0,0,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202103,AG,age,4,indication,694072,10,0,0.024,2.4,5.3,0,0,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202104,AG,age,642,indication,694072,652,0.1,0.667,66.7,56.699999999999996,0.09,0.09,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202105,AG,age,1612,indication,694072,2264,0.3,0.623,62.3,60.6,0.23,0.33,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202106,AG,age,1491,indication,694072,3755,0.5,0.585,58.5,59.699999999999996,0.21,0.54,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202107,AG,age,3628,indication,694072,7383,1.1,0.687,68.7,63.800000000000004,0.52,1.06,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202108,AG,age,3645,indication,694072,11028,1.6,0.559,55.900000000000006,61,0.53,1.59,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202109,AG,age,2915,indication,694072,13943,2,0.489,48.9,57.99999999999999,0.42,2.01,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202110,AG,age,1934,indication,694072,15877,2.3,0.412,41.199999999999996,55.2,0.28,2.29,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202111,AG,age,2171,indication,694072,18048,2.6,0.42,42,53.2,0.31,2.6,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202112,AG,age,4528,indication,694072,22576,3.3,0.535,53.5,53.300000000000004,0.65,3.25,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202113,AG,age,3588,indication,694072,26164,3.8,0.563,56.3,53.7,0.52,3.77,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202114,AG,age,4138,indication,694072,30302,4.4,0.464,46.400000000000006,52.6,0.6,4.37,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202115,AG,age,2063,indication,694072,32365,4.7,0.32,32,50.5,0.3,4.66,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202116,AG,age,2384,indication,694072,34749,5,0.288,28.799999999999997,48,0.34,5.01,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202117,AG,age,1601,indication,694072,36350,5.2,0.164,16.400000000000002,44.3,0.23,5.24,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202118,AG,age,2533,indication,694072,38883,5.6,0.208,20.8,41.199999999999996,0.36,5.6,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202119,AG,age,1849,indication,694072,40732,5.9,0.128,12.8,37.4,0.27,5.87,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202120,AG,age,1568,indication,694072,42300,6.1,0.073,7.3,32.5,0.23,6.09,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202121,AG,age,877,indication,694072,43177,6.2,0.05,5,29.2,0.13,6.22,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202122,AG,age,2128,indication,694072,45305,6.5,0.082,8.200000000000001,26.1,0.31,6.53,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202123,AG,age,1563,indication,694072,46868,6.8,0.08,8,24.3,0.23,6.75,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202124,AG,age,1516,indication,694072,48384,7,0.085,8.5,22.900000000000002,0.22,6.97,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
202125,AG,age,1186,indication,694072,49570,7.1,0.05,5,21.099999999999998,0.17,7.14,COVID19FullyVaccPersons,2022-05-03_10-25-13,detailed
