date,geoRegion,certified_icu_beds_target,icu_beds_operational,adhoc_icu_beds_operational,certified_icu_beds_operational,version,type_variant
2020-03-30,AG,54,67,13,54,2022-05-03_11-02-08,fp7d
2020-03-30,AI,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-03-30,AR,6,10,4,6,2022-05-03_11-02-08,fp7d
2020-03-30,BE,98,120,24,96,2022-05-03_11-02-08,fp7d
2020-03-30,BL,20,28,10,18,2022-05-03_11-02-08,fp7d
2020-03-30,BS,54,51,0,51,2022-05-03_11-02-08,fp7d
2020-03-30,FR,24,30,6,24,2022-05-03_11-02-08,fp7d
2020-03-30,GE,32,110,78,32,2022-05-03_11-02-08,fp7d
2020-03-30,GL,6,14,8,6,2022-05-03_11-02-08,fp7d
2020-03-30,GR,17,28,11,17,2022-05-03_11-02-08,fp7d
2020-03-30,JU,6,11,5,6,2022-05-03_11-02-08,fp7d
2020-03-30,LU,42,25,0,25,2022-05-03_11-02-08,fp7d
2020-03-30,NE,10,20,10,10,2022-05-03_11-02-08,fp7d
2020-03-30,NW,6,6,0,6,2022-05-03_11-02-08,fp7d
2020-03-30,OW,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-03-30,SG,54,74,20,54,2022-05-03_11-02-08,fp7d
2020-03-30,SH,8,12,4,8,2022-05-03_11-02-08,fp7d
2020-03-30,SO,17,18,1,17,2022-05-03_11-02-08,fp7d
2020-03-30,SZ,12,9,0,9,2022-05-03_11-02-08,fp7d
2020-03-30,TG,21,42,21,21,2022-05-03_11-02-08,fp7d
2020-03-30,TI,120,106,28,78,2022-05-03_11-02-08,fp7d
2020-03-30,UR,6,6,0,6,2022-05-03_11-02-08,fp7d
2020-03-30,VD,78,156,78,78,2022-05-03_11-02-08,fp7d
2020-03-30,VS,21,42,21,21,2022-05-03_11-02-08,fp7d
2020-03-30,ZG,8,12,4,8,2022-05-03_11-02-08,fp7d
2020-03-30,ZH,96,132,39,93,2022-05-03_11-02-08,fp7d
2020-03-31,AG,54,67,13,54,2022-05-03_11-02-08,fp7d
2020-03-31,AI,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-03-31,AR,6,10,4,6,2022-05-03_11-02-08,fp7d
2020-03-31,BE,98,124,33,91,2022-05-03_11-02-08,fp7d
2020-03-31,BL,20,28,10,18,2022-05-03_11-02-08,fp7d
2020-03-31,BS,54,54,0,54,2022-05-03_11-02-08,fp7d
2020-03-31,FR,24,38,14,24,2022-05-03_11-02-08,fp7d
2020-03-31,GE,32,107,75,32,2022-05-03_11-02-08,fp7d
2020-03-31,GL,6,14,8,6,2022-05-03_11-02-08,fp7d
2020-03-31,GR,17,28,11,17,2022-05-03_11-02-08,fp7d
2020-03-31,JU,6,11,5,6,2022-05-03_11-02-08,fp7d
2020-03-31,LU,48,39,8,31,2022-05-03_11-02-08,fp7d
2020-03-31,NE,10,21,11,10,2022-05-03_11-02-08,fp7d
2020-03-31,NW,6,6,0,6,2022-05-03_11-02-08,fp7d
2020-03-31,OW,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-03-31,SG,54,74,20,54,2022-05-03_11-02-08,fp7d
2020-03-31,SH,8,12,4,8,2022-05-03_11-02-08,fp7d
2020-03-31,SO,17,20,3,17,2022-05-03_11-02-08,fp7d
2020-03-31,SZ,12,9,0,9,2022-05-03_11-02-08,fp7d
2020-03-31,TG,21,42,21,21,2022-05-03_11-02-08,fp7d
2020-03-31,TI,120,108,30,78,2022-05-03_11-02-08,fp7d
2020-03-31,UR,6,6,0,6,2022-05-03_11-02-08,fp7d
2020-03-31,VD,89,169,80,89,2022-05-03_11-02-08,fp7d
2020-03-31,VS,21,42,21,21,2022-05-03_11-02-08,fp7d
2020-03-31,ZG,8,12,4,8,2022-05-03_11-02-08,fp7d
2020-03-31,ZH,97,135,41,94,2022-05-03_11-02-08,fp7d
2020-04-01,AG,52,65,13,52,2022-05-03_11-02-08,fp7d
2020-04-01,AI,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-04-01,AR,6,10,4,6,2022-05-03_11-02-08,fp7d
2020-04-01,BE,98,126,35,91,2022-05-03_11-02-08,fp7d
2020-04-01,BL,20,28,10,18,2022-05-03_11-02-08,fp7d
2020-04-01,BS,54,54,0,54,2022-05-03_11-02-08,fp7d
2020-04-01,FR,24,38,14,24,2022-05-03_11-02-08,fp7d
2020-04-01,GE,40,121,81,40,2022-05-03_11-02-08,fp7d
2020-04-01,GL,6,14,8,6,2022-05-03_11-02-08,fp7d
2020-04-01,GR,17,28,11,17,2022-05-03_11-02-08,fp7d
2020-04-01,JU,6,11,5,6,2022-05-03_11-02-08,fp7d
2020-04-01,LU,54,71,20,51,2022-05-03_11-02-08,fp7d
2020-04-01,NE,10,21,11,10,2022-05-03_11-02-08,fp7d
2020-04-01,NW,6,10,4,6,2022-05-03_11-02-08,fp7d
2020-04-01,OW,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-04-01,SG,54,74,20,54,2022-05-03_11-02-08,fp7d
2020-04-01,SH,8,12,4,8,2022-05-03_11-02-08,fp7d
2020-04-01,SO,17,20,3,17,2022-05-03_11-02-08,fp7d
2020-04-01,SZ,12,12,1,11,2022-05-03_11-02-08,fp7d
2020-04-01,TG,21,42,21,21,2022-05-03_11-02-08,fp7d
2020-04-01,TI,126,110,32,78,2022-05-03_11-02-08,fp7d
2020-04-01,UR,6,6,0,6,2022-05-03_11-02-08,fp7d
2020-04-01,VD,89,169,80,89,2022-05-03_11-02-08,fp7d
2020-04-01,VS,21,42,21,21,2022-05-03_11-02-08,fp7d
2020-04-01,ZG,8,12,4,8,2022-05-03_11-02-08,fp7d
2020-04-01,ZH,111,161,53,108,2022-05-03_11-02-08,fp7d
2020-04-02,AG,54,67,13,54,2022-05-03_11-02-08,fp7d
2020-04-02,AI,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-04-02,AR,6,10,4,6,2022-05-03_11-02-08,fp7d
2020-04-02,BE,159,137,34,103,2022-05-03_11-02-08,fp7d
2020-04-02,BL,20,28,10,18,2022-05-03_11-02-08,fp7d
2020-04-02,BS,54,58,4,54,2022-05-03_11-02-08,fp7d
2020-04-02,FR,24,38,14,24,2022-05-03_11-02-08,fp7d
2020-04-02,GE,40,124,84,40,2022-05-03_11-02-08,fp7d
2020-04-02,GL,6,14,8,6,2022-05-03_11-02-08,fp7d
2020-04-02,GR,20,29,9,20,2022-05-03_11-02-08,fp7d
2020-04-02,JU,6,11,5,6,2022-05-03_11-02-08,fp7d
2020-04-02,LU,54,71,20,51,2022-05-03_11-02-08,fp7d
2020-04-02,NE,10,21,11,10,2022-05-03_11-02-08,fp7d
2020-04-02,NW,6,10,4,6,2022-05-03_11-02-08,fp7d
2020-04-02,OW,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-04-02,SG,54,74,20,54,2022-05-03_11-02-08,fp7d
2020-04-02,SH,8,12,4,8,2022-05-03_11-02-08,fp7d
2020-04-02,SO,17,20,3,17,2022-05-03_11-02-08,fp7d
2020-04-02,SZ,12,12,1,11,2022-05-03_11-02-08,fp7d
2020-04-02,TG,21,42,21,21,2022-05-03_11-02-08,fp7d
2020-04-02,TI,120,110,32,78,2022-05-03_11-02-08,fp7d
2020-04-02,UR,6,6,0,6,2022-05-03_11-02-08,fp7d
2020-04-02,VD,89,169,80,89,2022-05-03_11-02-08,fp7d
2020-04-02,VS,21,42,21,21,2022-05-03_11-02-08,fp7d
2020-04-02,ZG,8,12,4,8,2022-05-03_11-02-08,fp7d
2020-04-02,ZH,118,183,68,115,2022-05-03_11-02-08,fp7d
2020-04-03,AG,54,67,13,54,2022-05-03_11-02-08,fp7d
2020-04-03,AI,0,0,0,0,2022-05-03_11-02-08,fp7d
2020-04-03,AR,6,10,4,6,2022-05-03_11-02-08,fp7d
2020-04-03,BE,163,136,30,106,2022-05-03_11-02-08,fp7d
