date,ICU_Covid19Patients,ICU_NonCovid19Patients,ICU_FreeCapacity,ICUPercent_NonCovid19Patients,ICUPercent_Covid19Patients,ICUPercent_FreeCapacity,Total_Covid19Patients,Total_NonCovid19Patients,Total_FreeCapacity,TotalPercent_NonCovid19Patients,TotalPercent_Covid19Patients,TotalPercent_FreeCapacity,ICUPercent_NonCovid19Patients_diff_pp,ICUPercent_Covid19Patients_diff_pp,ICUPercent_FreeCapacity_diff_pp,TotalPercent_NonCovid19Patients_diff_pp,TotalPercent_Covid19Patients_diff_pp,TotalPercent_FreeCapacity_diff_pp,ICU_Covid19Patients_diff_pct,ICU_NonCovid19Patients_diff_pct,Total_Covid19Patients_diff_pct,Total_NonCovid19Patients_diff_pct,ICU_FreeCapacity_diff_pct,Total_FreeCapacity_diff_pct,geoRegion,type_variant,type,version,timeframe_all
202014,453.4,263.1,537.9,20.9,36.1,42.9,1570.9,5988.9,10218.3,33.7,8.9,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202015,449.7,358.9,729.3,23.3,29.3,47.4,1495.1,7787,12695.3,35.4,6.8,57.8,2.400000000000002,-6.800000000000001,4.5,1.6999999999999957,-2.1000000000000005,0.29999999999999716,-0.8,36.4,-4.8,30,35.6,24.2,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202016,363.6,391.6,756.6,25.9,24,50.1,1182.6,8508.1,12968,37.6,5.2,57.2,2.599999999999998,-5.300000000000001,2.700000000000003,2.200000000000003,-1.5999999999999996,-0.5999999999999943,-19.1,9.1,-20.9,9.3,3.7,2.1,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202017,259,437.4,736.4,30.6,18.1,51.4,888.7,9583,11922.4,42.8,4,53.2,4.700000000000003,-5.899999999999999,1.2999999999999972,5.199999999999996,-1.2000000000000002,-4,-28.8,11.7,-24.9,12.6,-2.7,-8.1,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202018,177.6,492.3,585.9,39.3,14,46.7,645.6,11249.9,10784.3,49.6,2.8,47.6,8.699999999999996,-4.100000000000001,-4.699999999999996,6.800000000000004,-1.2000000000000002,-5.600000000000001,-31.4,12.6,-27.4,17.4,-20.4,-9.5,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202019,112.1,529.9,486,47,9.9,43.1,428.6,12042.4,10139.4,53.3,1.9,44.8,7.700000000000003,-4.1,-3.6000000000000014,3.6999999999999957,-0.8999999999999999,-2.8000000000000043,-36.9,7.6,-33.6,7,-17.1,-6,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202020,82.3,530.7,495.4,47.9,7.4,44.7,304.1,12825.1,9482.1,56.7,1.4,41.9,0.8999999999999986,-2.5,1.6000000000000014,3.4000000000000057,-0.5,-2.8999999999999986,-26.6,0.2,-29,6.5,1.9,-6.5,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202021,58.1,541.9,479.7,50.2,5.4,44.4,200.4,12159.9,9558.3,55.5,0.9,43.6,2.3000000000000043,-2,-0.30000000000000426,-1.2000000000000028,-0.4999999999999999,1.7000000000000028,-29.4,2.1,-34.1,-5.2,-3.2,0.8,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202022,37.9,571,470.9,52.9,3.5,43.6,149.6,13028.9,9164.4,58.3,0.7,41,2.6999999999999957,-1.9000000000000004,-0.7999999999999972,2.799999999999997,-0.20000000000000007,-2.6000000000000014,-34.8,5.4,-25.3,7.1,-1.8,-4.1,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202023,30.4,560.6,454.3,53.6,2.9,43.4,113.7,12794,8957.1,58.5,0.5,40.9,0.7000000000000028,-0.6000000000000001,-0.20000000000000284,0.20000000000000284,-0.19999999999999996,-0.10000000000000142,-19.8,-1.8,-24,-1.8,-3.5,-2.3,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202024,26.4,556.6,441.6,54.3,2.6,43.1,82.7,13110,8130.9,61.5,0.4,38.1,0.6999999999999957,-0.2999999999999998,-0.29999999999999716,3,-0.09999999999999998,-2.799999999999997,-13.2,-0.7,-27.3,2.5,-2.8,-9.2,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202025,12.3,573.9,406,57.8,1.2,40.9,66.7,13258.3,7727.4,63,0.3,36.7,3.5,-1.4000000000000001,-2.200000000000003,1.5,-0.10000000000000003,-1.3999999999999986,-53.4,3.1,-19.3,1.1,-8.1,-5,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202026,15.9,588.1,398.4,58.6,1.6,39.8,70.1,13592.7,7731.1,63.5,0.3,36.1,0.8000000000000043,0.40000000000000013,-1.1000000000000014,0.5,0,-0.6000000000000014,29.3,2.5,5.1,2.5,-1.9,0,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
202027,23.7,596.9,377.6,59.8,2.4,37.8,80.1,13674.3,7738.1,63.6,0.4,36,1.1999999999999957,0.7999999999999998,-2,0.10000000000000142,0.10000000000000003,-0.10000000000000142,49.1,1.5,14.3,0.6,-5.2,0.1,CH,fp7d,COVID19HospCapacity,2022-05-03_11-02-08,TRUE
