sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,13039,0,0.5,50,4302599,0.6,0.6,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,9569,0,0.5,50,4367701,0.6,0.6,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,57,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,13039,0,0.514,51.4,4302599,1.32,1.93,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-10,31,0.72,119.2,1.3999999999999986
female,CH,202010,54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,9569,0,0.486,48.6,4367701,1.24,1.83,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-10,28,0.64,107.7,-1.3999999999999986
unknown,CH,202010,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-10,0,NA,NA,0
male,CH,202011,199,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,282,13039,0,0.567,56.699999999999996,4302599,4.63,6.55,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-11,142,3.31,249.1,5.299999999999997
female,CH,202011,152,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,232,9569,0,0.433,43.3,4367701,3.48,5.31,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-11,98,2.24,181.5,-5.300000000000004
unknown,CH,202011,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-11,0,NA,NA,0
male,CH,202012,515,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,797,13039,0,0.613,61.3,4302599,11.97,18.52,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-12,316,7.34,158.8,4.600000000000001
female,CH,202012,325,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,557,9569,0,0.387,38.7,4367701,7.44,12.75,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-12,173,3.96,113.8,-4.599999999999994
unknown,CH,202012,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-12,0,NA,NA,0
male,CH,202013,741,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1538,13039,0,0.631,63.1,4302599,17.22,35.75,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-13,226,5.25,43.9,1.8000000000000043
female,CH,202013,433,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,990,9569,0,0.369,36.9,4367701,9.91,22.67,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2020-13,108,2.47,33.2,-1.8000000000000043
