geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,22609,0,1,100,8670300,0.6,0.6,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-09,NA,NA,NA,NA
CH,202010,111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,163,22609,0,1,100,8670300,1.28,1.88,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-10,59,0.68,113.5,0
CH,202011,351,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,514,22609,0,1,100,8670300,4.05,5.93,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-11,240,2.77,216.2,0
CH,202012,840,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1354,22609,0,1,100,8670300,9.69,15.62,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-12,489,5.64,139.3,0
CH,202013,1174,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2528,22609,0,1,100,8670300,13.54,29.16,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-13,334,3.85,39.8,0
CH,202014,672,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3200,22609,0,1,100,8670300,7.75,36.91,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-14,-502,-5.79,-42.8,0
CH,202015,379,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3579,22609,0,1,100,8670300,4.37,41.28,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-15,-293,-3.38,-43.6,0
CH,202016,225,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3804,22609,0,1,100,8670300,2.6,43.87,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-16,-154,-1.77,-40.6,0
CH,202017,107,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3911,22609,0,1,100,8670300,1.23,45.11,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-17,-118,-1.37,-52.4,0
CH,202018,66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3977,22609,0,1,100,8670300,0.76,45.87,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-18,-41,-0.47,-38.3,0
CH,202019,31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4008,22609,0,1,100,8670300,0.36,46.23,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-19,-35,-0.4,-53,0
CH,202020,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4033,22609,0,1,100,8670300,0.29,46.52,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-20,-6,-0.07,-19.4,0
CH,202021,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4048,22609,0,1,100,8670300,0.17,46.69,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-21,-10,-0.12,-40,0
CH,202022,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4067,22609,0,1,100,8670300,0.22,46.91,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-22,4,0.05,26.7,0
CH,202023,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4072,22609,0,1,100,8670300,0.06,46.96,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-23,-14,-0.16,-73.7,0
CH,202024,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4080,22609,0,1,100,8670300,0.09,47.06,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-24,3,0.03,60,0
CH,202025,17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4097,22609,0,1,100,8670300,0.2,47.25,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-25,9,0.11,112.5,0
CH,202026,17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4114,22609,0,1,100,8670300,0.2,47.45,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-26,0,0,0,0
CH,202027,38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4152,22609,0,1,100,8670300,0.44,47.89,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-27,21,0.24,123.5,0
CH,202028,55,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4207,22609,0,1,100,8670300,0.63,48.52,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-28,17,0.19,44.7,0
CH,202029,36,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4243,22609,0,1,100,8670300,0.42,48.94,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-29,-19,-0.21,-34.5,0
CH,202030,59,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4302,22609,0,1,100,8670300,0.68,49.62,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-30,23,0.26,63.9,0
CH,202031,62,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4364,22609,0,1,100,8670300,0.72,50.33,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-31,3,0.04,5.1,0
CH,202032,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4414,22609,0,1,100,8670300,0.58,50.91,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-32,-12,-0.14,-19.4,0
CH,202033,53,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4467,22609,0,1,100,8670300,0.61,51.52,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-33,3,0.03,6,0
CH,202034,51,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4518,22609,0,1,100,8670300,0.59,52.11,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-34,-2,-0.02,-3.8,0
CH,202035,44,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4562,22609,0,1,100,8670300,0.51,52.62,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-35,-7,-0.08,-13.7,0
CH,202036,76,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4638,22609,0,1,100,8670300,0.88,53.49,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-36,32,0.37,72.7,0
CH,202037,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4738,22609,0,1,100,8670300,1.15,54.65,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-37,24,0.27,31.6,0
CH,202038,107,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4845,22609,0,1,100,8670300,1.23,55.88,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-38,7,0.08,7,0
CH,202039,115,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4960,22609,0,1,100,8670300,1.33,57.21,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-39,8,0.1,7.5,0
CH,202040,164,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5124,22609,0,1,100,8670300,1.89,59.1,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-40,49,0.56,42.6,0
CH,202041,286,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5410,22609,0,1,100,8670300,3.3,62.4,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-41,122,1.41,74.4,0
CH,202042,649,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6059,22609,0,1,100,8670300,7.49,69.88,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2020-42,363,4.19,126.9,0
