date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,unknown,fully_vaccinated,0,0,NA,NA,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-01-28,unknown,fully_vaccinated,0,0,NA,NA,NA,NA,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-01-29,unknown,fully_vaccinated,0,0,NA,NA,NA,NA,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-01-30,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-01-31,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-01,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-02,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-03,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-04,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-05,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-06,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-07,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-08,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-09,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-10,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-11,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-12,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-13,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-14,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-15,unknown,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-16,unknown,fully_vaccinated,0,0,NA,NA,NA,0.14,NA,0,0,2.86,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-17,unknown,fully_vaccinated,0,0,NA,NA,NA,0.29,NA,0,0,10,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-18,unknown,fully_vaccinated,0,0,NA,NA,NA,0.29,NA,0,0,10,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-19,unknown,fully_vaccinated,1,1,NA,NA,NA,0.43,NA,20,3.45,14.76,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-20,unknown,fully_vaccinated,1,2,NA,NA,NA,0.43,NA,50,6.45,14.76,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-21,unknown,fully_vaccinated,0,2,NA,NA,NA,0.43,NA,0,6.25,14.76,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-22,unknown,fully_vaccinated,1,3,NA,NA,NA,0.43,NA,33.33,8.57,14.76,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-23,unknown,fully_vaccinated,0,3,NA,NA,NA,0.29,NA,0,7.32,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-24,unknown,fully_vaccinated,0,3,NA,NA,NA,0.14,NA,0,7.14,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-25,unknown,fully_vaccinated,0,3,NA,NA,NA,0.14,NA,0,6.98,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-26,unknown,fully_vaccinated,0,3,NA,NA,NA,0.14,NA,NA,6.98,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-27,unknown,fully_vaccinated,0,3,NA,NA,NA,0.14,NA,NA,6.98,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-02-28,unknown,fully_vaccinated,0,3,NA,NA,NA,0.14,NA,0,6.82,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-01,unknown,fully_vaccinated,1,4,NA,NA,NA,0.14,NA,50,8.7,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-02,unknown,fully_vaccinated,0,4,NA,NA,NA,0.29,NA,0,8.16,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-03,unknown,fully_vaccinated,0,4,NA,NA,NA,0.29,NA,0,7.69,14.29,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-04,unknown,fully_vaccinated,0,4,NA,NA,NA,0.29,NA,0,7.41,14.29,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-05,unknown,fully_vaccinated,1,5,NA,NA,NA,0.14,NA,50,8.93,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-06,unknown,fully_vaccinated,0,5,NA,NA,NA,0.14,NA,0,8.77,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-07,unknown,fully_vaccinated,0,5,NA,NA,NA,0.14,NA,0,8.62,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-08,unknown,fully_vaccinated,0,5,NA,NA,NA,0.14,NA,NA,8.62,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-09,unknown,fully_vaccinated,0,5,NA,NA,NA,0.14,NA,0,8.47,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-10,unknown,fully_vaccinated,0,5,NA,NA,NA,0.14,NA,0,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-11,unknown,fully_vaccinated,0,5,NA,NA,NA,0.14,NA,0,8.06,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-12,unknown,fully_vaccinated,1,6,NA,NA,NA,0.57,NA,20,8.96,11.43,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-13,unknown,fully_vaccinated,0,6,NA,NA,NA,0.71,NA,0,8.82,18.57,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-14,unknown,fully_vaccinated,0,6,NA,NA,NA,0.71,NA,0,8.33,18.57,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-15,unknown,fully_vaccinated,3,9,NA,NA,NA,0.71,NA,60,11.69,18.57,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-16,unknown,fully_vaccinated,1,10,NA,NA,NA,0.71,NA,50,12.66,19.29,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-17,unknown,fully_vaccinated,0,10,NA,NA,NA,0.71,NA,0,12.2,19.29,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-18,unknown,fully_vaccinated,0,10,NA,NA,NA,0.86,NA,0,11.63,26.43,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-19,unknown,fully_vaccinated,1,11,NA,NA,NA,0.57,NA,25,12.22,25,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-20,unknown,fully_vaccinated,0,11,NA,NA,NA,0.57,NA,0,11.7,22.62,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-21,unknown,fully_vaccinated,1,12,NA,NA,NA,0.71,NA,50,12.5,36.9,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-22,unknown,fully_vaccinated,1,13,NA,NA,NA,0.71,NA,50,13.27,36.9,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-23,unknown,fully_vaccinated,1,14,NA,NA,NA,0.57,NA,33.33,13.86,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-24,unknown,fully_vaccinated,1,15,NA,NA,NA,0.57,NA,100,14.71,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-25,unknown,fully_vaccinated,0,15,NA,NA,NA,0.43,NA,0,14.56,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-26,unknown,fully_vaccinated,0,15,NA,NA,NA,0.43,NA,NA,14.56,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-27,unknown,fully_vaccinated,0,15,NA,NA,NA,0.43,NA,0,14.29,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-28,unknown,fully_vaccinated,0,15,NA,NA,NA,0.57,NA,0,14.02,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-29,unknown,fully_vaccinated,1,16,NA,NA,NA,0.71,NA,33.33,14.55,NA,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-30,unknown,fully_vaccinated,1,17,NA,NA,NA,0.86,NA,50,15.18,26.19,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-03-31,unknown,fully_vaccinated,2,19,NA,NA,NA,1,NA,50,16.38,29.05,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-01,unknown,fully_vaccinated,1,20,NA,NA,NA,1,NA,25,16.67,29.05,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-02,unknown,fully_vaccinated,1,21,NA,NA,NA,0.86,NA,25,16.94,24.29,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-03,unknown,fully_vaccinated,1,22,NA,NA,NA,0.86,NA,20,17.05,21.9,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-04,unknown,fully_vaccinated,0,22,NA,NA,NA,0.57,NA,0,16.79,14.76,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-05,unknown,fully_vaccinated,0,22,NA,NA,NA,1,NA,0,16.42,17.54,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-06,unknown,fully_vaccinated,1,23,NA,NA,NA,1.14,NA,33.33,16.79,18.73,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-07,unknown,fully_vaccinated,0,23,NA,NA,NA,1,NA,0,16.55,15.87,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-08,unknown,fully_vaccinated,4,27,NA,NA,NA,1,NA,44.44,18.24,15.87,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-09,unknown,fully_vaccinated,2,29,NA,NA,NA,1.29,NA,33.33,18.83,23.01,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-10,unknown,fully_vaccinated,0,29,NA,NA,NA,1.14,NA,0,18.59,18.25,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-11,unknown,fully_vaccinated,0,29,NA,NA,NA,1.14,NA,0,18.01,18.25,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-12,unknown,fully_vaccinated,2,31,NA,NA,NA,0.57,NA,50,18.79,11.9,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-13,unknown,fully_vaccinated,0,31,NA,NA,NA,0.86,NA,0,18.45,13.49,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-14,unknown,fully_vaccinated,0,31,NA,NA,NA,0.86,NA,0,18.34,13.49,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-15,unknown,fully_vaccinated,0,31,NA,NA,NA,0.86,NA,0,17.71,13.49,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-16,unknown,fully_vaccinated,4,35,NA,NA,NA,0.71,NA,44.44,19.02,8.13,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-17,unknown,fully_vaccinated,0,35,NA,NA,NA,0.71,NA,0,18.72,8.13,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-18,unknown,fully_vaccinated,0,35,NA,NA,NA,0.86,NA,0,18.62,15.28,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-19,unknown,fully_vaccinated,1,36,NA,NA,NA,1,NA,12.5,18.37,20.04,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-20,unknown,fully_vaccinated,0,36,NA,NA,NA,0.43,NA,0,18.09,13.69,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-21,unknown,fully_vaccinated,1,37,NA,NA,NA,0.43,NA,50,18.41,13.69,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-22,unknown,fully_vaccinated,1,38,NA,NA,NA,0.43,NA,33.33,18.63,13.69,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
2021-04-23,unknown,fully_vaccinated,0,38,NA,NA,NA,0.57,NA,0,18.27,15.99,CHFL,COVID19Hosp,vaccine,limited,2022-05-03_06-06-15
