date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202053,AG,age,2,indication,694072,2,NA,0.008,0.8,0.8,0,0,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202101,AG,age,1674,indication,694072,1676,NA,0.662,66.2,60.4,0.24,0.24,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202102,AG,age,2121,indication,694072,3797,NA,0.605,60.5,60.4,0.31,0.55,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202103,AG,age,3968,indication,694072,7765,NA,0.642,64.2,62.3,0.57,1.12,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202104,AG,age,3970,indication,694072,11735,NA,0.552,55.2,59.699999999999996,0.57,1.69,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202105,AG,age,4524,indication,694072,16259,NA,0.521,52.1,57.4,0.65,2.34,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202106,AG,age,3381,indication,694072,19640,NA,0.438,43.8,54.50000000000001,0.49,2.83,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202107,AG,age,5775,indication,694072,25415,NA,0.519,51.9,53.900000000000006,0.83,3.66,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202108,AG,age,8199,indication,694072,33614,NA,0.55,55.00000000000001,54.1,1.18,4.84,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202109,AG,age,7202,indication,694072,40816,NA,0.524,52.400000000000006,53.800000000000004,1.04,5.88,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202110,AG,age,5832,indication,694072,46648,NA,0.429,42.9,52.2,0.84,6.72,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202111,AG,age,3546,indication,694072,50194,NA,0.335,33.5,50.2,0.51,7.23,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202112,AG,age,6959,indication,694072,57153,NA,0.423,42.3,49.1,1,8.23,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202113,AG,age,5175,indication,694072,62328,NA,0.329,32.9,47.199999999999996,0.75,8.98,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202114,AG,age,6762,indication,694072,69090,NA,0.323,32.300000000000004,45.1,0.97,9.95,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202115,AG,age,4143,indication,694072,73233,NA,0.164,16.400000000000002,41.099999999999994,0.6,10.55,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202116,AG,age,3588,indication,694072,76821,NA,0.12,12,36.9,0.52,11.07,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202117,AG,age,2306,indication,694072,79127,NA,0.092,9.2,33.900000000000006,0.33,11.4,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202118,AG,age,4674,indication,694072,83801,NA,0.134,13.4,31.3,0.67,12.07,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202119,AG,age,3378,indication,694072,87179,NA,0.103,10.299999999999999,28.999999999999996,0.49,12.56,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202120,AG,age,2946,indication,694072,90125,NA,0.076,7.6,26.6,0.42,12.98,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202121,AG,age,2037,indication,694072,92162,NA,0.05,5,24.2,0.29,13.28,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202122,AG,age,3177,indication,694072,95339,NA,0.062,6.2,22.1,0.46,13.74,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202123,AG,age,2379,indication,694072,97718,NA,0.048,4.8,20.3,0.34,14.08,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202124,AG,age,1959,indication,694072,99677,NA,0.046,4.6,19,0.28,14.36,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202125,AG,age,1698,indication,694072,101375,NA,0.047,4.7,18.099999999999998,0.24,14.61,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202126,AG,age,1801,indication,694072,103176,NA,0.051,5.1,17.299999999999997,0.26,14.87,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202127,AG,age,1591,indication,694072,104767,NA,0.044,4.3999999999999995,16.6,0.23,15.09,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202128,AG,age,1168,indication,694072,105935,NA,0.04,4,16,0.17,15.26,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202129,AG,age,1135,indication,694072,107070,NA,0.059,5.8999999999999995,15.8,0.16,15.43,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202130,AG,age,1077,indication,694072,108147,NA,0.073,7.3,15.6,0.16,15.58,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202131,AG,age,1129,indication,694072,109276,NA,0.088,8.799999999999999,15.5,0.16,15.74,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202132,AG,age,1446,indication,694072,110722,NA,0.129,12.9,15.4,0.21,15.95,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202133,AG,age,1459,indication,694072,112181,NA,0.121,12.1,15.4,0.21,16.16,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202134,AG,age,1602,indication,694072,113783,NA,0.106,10.6,15.299999999999999,0.23,16.39,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202135,AG,age,1472,indication,694072,115255,NA,0.099,9.9,15.2,0.21,16.61,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202136,AG,age,1454,indication,694072,116709,NA,0.084,8.4,15,0.21,16.82,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202137,AG,age,1879,indication,694072,118588,NA,0.097,9.700000000000001,14.899999999999999,0.27,17.09,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202138,AG,age,1960,indication,694072,120548,NA,0.12,12,14.799999999999999,0.28,17.37,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202139,AG,age,1710,indication,694072,122258,NA,0.117,11.700000000000001,14.799999999999999,0.25,17.61,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202140,AG,age,1187,indication,694072,123445,NA,0.087,8.7,14.7,0.17,17.79,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202141,AG,age,1504,indication,694072,124949,NA,0.109,10.9,14.6,0.22,18,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202142,AG,age,1334,indication,694072,126283,NA,0.124,12.4,14.6,0.19,18.19,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202143,AG,age,1069,indication,694072,127352,NA,0.129,12.9,14.6,0.15,18.35,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202144,AG,age,699,indication,694072,128051,NA,0.117,11.700000000000001,14.499999999999998,0.1,18.45,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202145,AG,age,1349,indication,694072,129400,NA,0.177,17.7,14.6,0.19,18.64,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202146,AG,age,9783,indication,694072,139183,NA,0.399,39.900000000000006,15.299999999999999,1.41,20.05,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202147,AG,age,10981,indication,694072,150164,NA,0.393,39.300000000000004,16,1.58,21.64,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202148,AG,age,9078,indication,694072,159242,NA,0.281,28.1,16.400000000000002,1.31,22.94,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202149,AG,age,7040,indication,694072,166282,NA,0.213,21.3,16.5,1.01,23.96,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202150,AG,age,7732,indication,694072,174014,NA,0.217,21.7,16.7,1.11,25.07,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202151,AG,age,4385,indication,694072,178399,NA,0.169,16.900000000000002,16.7,0.63,25.7,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202152,AG,age,2936,indication,694072,181335,NA,0.12,12,16.6,0.42,26.13,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202201,AG,age,4528,indication,694072,185863,NA,0.097,9.700000000000001,16.3,0.65,26.78,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202202,AG,age,4105,indication,694072,189968,NA,0.112,11.200000000000001,16.2,0.59,27.37,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202203,AG,age,3489,indication,694072,193457,NA,0.145,14.499999999999998,16.1,0.5,27.87,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202204,AG,age,2249,indication,694072,195706,NA,0.129,12.9,16.1,0.32,28.2,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202205,AG,age,1269,indication,694072,196975,NA,0.133,13.3,16.1,0.18,28.38,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202206,AG,age,735,indication,694072,197710,NA,0.122,12.2,16,0.11,28.49,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202207,AG,age,543,indication,694072,198253,NA,0.145,14.499999999999998,16,0.08,28.56,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202208,AG,age,301,indication,694072,198554,NA,0.122,12.2,16,0.04,28.61,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202209,AG,age,199,indication,694072,198753,NA,0.154,15.4,16,0.03,28.64,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202210,AG,age,138,indication,694072,198891,NA,0.127,12.7,16,0.02,28.66,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202211,AG,age,130,indication,694072,199021,NA,0.13,13,16,0.02,28.67,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202212,AG,age,176,indication,694072,199197,NA,0.14,14.000000000000002,16,0.03,28.7,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202213,AG,age,114,indication,694072,199311,NA,0.113,11.3,16,0.02,28.72,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202214,AG,age,63,indication,694072,199374,NA,0.082,8.200000000000001,16,0.01,28.73,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202215,AG,age,70,indication,694072,199444,NA,0.127,12.7,16,0.01,28.74,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202216,AG,age,113,indication,694072,199557,NA,0.145,14.499999999999998,16,0.02,28.75,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202217,AG,age,133,indication,694072,199690,NA,0.173,17.299999999999997,16,0.02,28.77,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202052,AG,chronic_disease,0,indication,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202053,AG,chronic_disease,9,indication,694072,9,NA,0.036,3.5999999999999996,3.5999999999999996,0,0,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202101,AG,chronic_disease,443,indication,694072,452,NA,0.175,17.5,16.3,0.06,0.07,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202102,AG,chronic_disease,413,indication,694072,865,NA,0.118,11.799999999999999,13.8,0.06,0.12,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202103,AG,chronic_disease,919,indication,694072,1784,NA,0.149,14.899999999999999,14.299999999999999,0.13,0.26,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202104,AG,chronic_disease,1568,indication,694072,3352,NA,0.218,21.8,17.1,0.23,0.48,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202105,AG,chronic_disease,2042,indication,694072,5394,NA,0.235,23.5,19,0.29,0.78,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202106,AG,chronic_disease,1765,indication,694072,7159,NA,0.229,22.900000000000002,19.900000000000002,0.25,1.03,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202107,AG,chronic_disease,2694,indication,694072,9853,NA,0.242,24.2,20.9,0.39,1.42,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202108,AG,chronic_disease,3946,indication,694072,13799,NA,0.265,26.5,22.2,0.57,1.99,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202109,AG,chronic_disease,3924,indication,694072,17723,NA,0.285,28.499999999999996,23.400000000000002,0.57,2.55,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202110,AG,chronic_disease,4459,indication,694072,22182,NA,0.328,32.800000000000004,24.8,0.64,3.2,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202111,AG,chronic_disease,3304,indication,694072,25486,NA,0.312,31.2,25.5,0.48,3.67,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202112,AG,chronic_disease,5512,indication,694072,30998,NA,0.335,33.5,26.6,0.79,4.47,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202113,AG,chronic_disease,5185,indication,694072,36183,NA,0.33,33,27.400000000000002,0.75,5.21,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202114,AG,chronic_disease,7404,indication,694072,43587,NA,0.354,35.4,28.499999999999996,1.07,6.28,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
202115,AG,chronic_disease,8134,indication,694072,51721,NA,0.323,32.300000000000004,28.999999999999996,1.17,7.45,COVID19VaccDosesAdministered,2022-05-03_10-25-13,detailed
