date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,vaccination_centre,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202053,AG,vaccination_centre,246,location,694072,246,NA,0.996,99.6,99.2,0.04,0.04,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202101,AG,vaccination_centre,2283,location,694072,2529,NA,0.903,90.3,91.10000000000001,0.33,0.36,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202102,AG,vaccination_centre,2783,location,694072,5312,NA,0.794,79.4,84.5,0.4,0.77,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202103,AG,vaccination_centre,4742,location,694072,10054,NA,0.768,76.8,80.7,0.68,1.45,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202104,AG,vaccination_centre,4186,location,694072,14240,NA,0.582,58.199999999999996,72.5,0.6,2.05,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202105,AG,vaccination_centre,5224,location,694072,19464,NA,0.602,60.199999999999996,68.7,0.75,2.8,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202106,AG,vaccination_centre,6338,location,694072,25802,NA,0.821,82.1,71.6,0.91,3.72,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202107,AG,vaccination_centre,9713,location,694072,35515,NA,0.873,87.3,75.3,1.4,5.12,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202108,AG,vaccination_centre,11771,location,694072,47286,NA,0.79,79,76.2,1.7,6.81,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202109,AG,vaccination_centre,10749,location,694072,58035,NA,0.782,78.2,76.5,1.55,8.36,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202110,AG,vaccination_centre,12006,location,694072,70041,NA,0.882,88.2,78.3,1.73,10.09,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202111,AG,vaccination_centre,10300,location,694072,80341,NA,0.974,97.39999999999999,80.30000000000001,1.48,11.58,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202112,AG,vaccination_centre,16178,location,694072,96519,NA,0.984,98.4,82.89999999999999,2.33,13.91,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202113,AG,vaccination_centre,15454,location,694072,111973,NA,0.983,98.3,84.7,2.23,16.13,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202114,AG,vaccination_centre,19514,location,694072,131487,NA,0.933,93.30000000000001,85.9,2.81,18.94,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202115,AG,vaccination_centre,24066,location,694072,155553,NA,0.955,95.5,87.2,3.47,22.41,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202116,AG,vaccination_centre,27395,location,694072,182948,NA,0.915,91.5,87.9,3.95,26.36,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202117,AG,vaccination_centre,23265,location,694072,206213,NA,0.931,93.10000000000001,88.4,3.35,29.71,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202118,AG,vaccination_centre,29624,location,694072,235837,NA,0.852,85.2,88,4.27,33.98,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202119,AG,vaccination_centre,27910,location,694072,263747,NA,0.852,85.2,87.7,4.02,38,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202120,AG,vaccination_centre,30073,location,694072,293820,NA,0.779,77.9,86.6,4.33,42.33,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202121,AG,vaccination_centre,33303,location,694072,327123,NA,0.813,81.3,86,4.8,47.13,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202122,AG,vaccination_centre,44156,location,694072,371279,NA,0.86,86,86,6.36,53.49,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202123,AG,vaccination_centre,43825,location,694072,415104,NA,0.878,87.8,86.2,6.31,59.81,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202124,AG,vaccination_centre,35699,location,694072,450803,NA,0.843,84.3,86,5.14,64.95,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202125,AG,vaccination_centre,29414,location,694072,480217,NA,0.816,81.6,85.8,4.24,69.19,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202126,AG,vaccination_centre,29850,location,694072,510067,NA,0.853,85.3,85.7,4.3,73.49,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202127,AG,vaccination_centre,32696,location,694072,542763,NA,0.914,91.4,86.1,4.71,78.2,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202128,AG,vaccination_centre,27687,location,694072,570450,NA,0.939,93.89999999999999,86.4,3.99,82.19,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202129,AG,vaccination_centre,17432,location,694072,587882,NA,0.911,91.10000000000001,86.5,2.51,84.7,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202130,AG,vaccination_centre,13291,location,694072,601173,NA,0.902,90.2,86.6,1.91,86.62,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202131,AG,vaccination_centre,11079,location,694072,612252,NA,0.862,86.2,86.6,1.6,88.21,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202132,AG,vaccination_centre,9465,location,694072,621717,NA,0.844,84.39999999999999,86.6,1.36,89.58,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202133,AG,vaccination_centre,10307,location,694072,632024,NA,0.852,85.2,86.6,1.49,91.06,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
202134,AG,vaccination_centre,12976,location,694072,645000,NA,0.861,86.1,86.5,1.87,92.93,COVID19VaccDosesAdministered,2022-04-19_08-27-49,detailed
