date,altersklasse_covid19,vaccine,geoRegion,type,entries,pop,sumTotal,per100Persons,per100PersonsTotal,type_variant,version
202052,0 - 9,johnson_johnson,CHFL,COVID19AtLeastOneDosePersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,johnson_johnson,CHFL,COVID19FullyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,johnson_johnson,CHFL,COVID19PartiallyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,johnson_johnson,CHFL,COVID19FirstBoosterPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,moderna,CHFL,COVID19AtLeastOneDosePersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,moderna,CHFL,COVID19FullyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,moderna,CHFL,COVID19PartiallyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,moderna,CHFL,COVID19FirstBoosterPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,novavax,CHFL,COVID19AtLeastOneDosePersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,novavax,CHFL,COVID19FullyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,novavax,CHFL,COVID19PartiallyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,novavax,CHFL,COVID19FirstBoosterPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,pfizer_biontech,CHFL,COVID19AtLeastOneDosePersons,1,880587,1,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,pfizer_biontech,CHFL,COVID19FullyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,pfizer_biontech,CHFL,COVID19PartiallyVaccPersons,1,880587,1,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,0 - 9,pfizer_biontech,CHFL,COVID19FirstBoosterPersons,0,880587,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,10 - 19,johnson_johnson,CHFL,COVID19AtLeastOneDosePersons,0,853375,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,10 - 19,johnson_johnson,CHFL,COVID19FullyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,10 - 19,johnson_johnson,CHFL,COVID19PartiallyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,10 - 19,johnson_johnson,CHFL,COVID19FirstBoosterPersons,0,853375,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,10 - 19,moderna,CHFL,COVID19AtLeastOneDosePersons,0,853375,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,10 - 19,moderna,CHFL,COVID19FullyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,10 - 19,moderna,CHFL,COVID19PartiallyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
202052,10 - 19,moderna,CHFL,COVID19FirstBoosterPersons,0,853375,0,0,0,altersklasse_covid19,2022-05-03_10-25-13
