date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,2,sex,348814,2,0,0,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.25,25
202053,AG,male,55,sex,348814,57,0.02,0.02,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.294,29.4
202101,AG,male,1188,sex,348814,1245,0.34,0.36,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.475,47.5
202102,AG,male,1539,sex,348814,2784,0.44,0.8,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.45,45
202103,AG,male,2858,sex,348814,5642,0.82,1.62,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.458,45.800000000000004
202104,AG,male,2598,sex,348814,8240,0.74,2.36,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.405,40.5
202105,AG,male,2378,sex,348814,10618,0.68,3.04,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.4,40
202106,AG,male,2019,sex,348814,12637,0.58,3.62,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.4,40
202107,AG,male,2400,sex,348814,15037,0.69,4.31,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.456,45.6
202108,AG,male,3884,sex,348814,18921,1.11,5.42,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.475,47.5
202109,AG,male,3639,sex,348814,22560,1.04,6.47,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.464,46.400000000000006
202110,AG,male,4051,sex,348814,26611,1.16,7.63,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.463,46.300000000000004
202111,AG,male,2441,sex,348814,29052,0.7,8.33,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.463,46.300000000000004
202112,AG,male,3811,sex,348814,32863,1.09,9.42,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.474,47.4
202113,AG,male,4522,sex,348814,37385,1.3,10.72,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.475,47.5
202114,AG,male,5734,sex,348814,43119,1.64,12.36,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.467,46.7
202115,AG,male,8046,sex,348814,51165,2.31,14.67,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.429,42.9
202116,AG,male,10791,sex,348814,61956,3.09,17.76,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.49,49
202117,AG,male,7557,sex,348814,69513,2.17,19.93,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.48,48
202118,AG,male,11601,sex,348814,81114,3.33,23.25,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.495,49.5
202119,AG,male,8802,sex,348814,89916,2.52,25.78,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.475,47.5
202120,AG,male,9022,sex,348814,98938,2.59,28.36,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.493,49.3
202121,AG,male,12816,sex,348814,111754,3.67,32.04,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.517,51.7
202122,AG,male,14731,sex,348814,126485,4.22,36.26,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.539,53.900000000000006
202123,AG,male,17623,sex,348814,144108,5.05,41.31,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.546,54.6
202124,AG,male,14577,sex,348814,158685,4.18,45.49,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.557,55.7
202125,AG,male,7693,sex,348814,166378,2.21,47.7,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.535,53.5
202126,AG,male,5060,sex,348814,171438,1.45,49.15,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.514,51.4
202127,AG,male,3116,sex,348814,174554,0.89,50.04,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.532,53.2
202128,AG,male,3158,sex,348814,177712,0.91,50.95,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.542,54.2
202129,AG,male,2455,sex,348814,180167,0.7,51.65,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.51,51
202130,AG,male,2552,sex,348814,182719,0.73,52.38,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.519,51.9
202131,AG,male,2762,sex,348814,185481,0.79,53.17,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.506,50.6
202132,AG,male,2464,sex,348814,187945,0.71,53.88,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.512,51.2
202133,AG,male,3240,sex,348814,191185,0.93,54.81,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.493,49.3
202134,AG,male,4538,sex,348814,195723,1.3,56.11,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.499,49.9
202135,AG,male,4634,sex,348814,200357,1.33,57.44,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.503,50.3
202136,AG,male,6058,sex,348814,206415,1.74,59.18,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.523,52.300000000000004
